Classification_Value,Class
0.98187834,1
0.9999994,1
0.9998079,1
0.9943294,1
0.99575543,1
0.999708,1
1.0,1
0.99999225,1
1.0,1
1.0,1
0.9993086,1
0.999828,1
0.99999964,1
0.9998017,1
0.99493706,1
0.9999989,1
1.0,1
0.99998593,1
1.0,1
1.0,1
1.0,1
0.9994648,1
0.97093767,1
1.0,1
1.0,1
0.99988186,1
1.0,1
0.9999968,1
0.9999999,1
1.0,1
0.99993026,1
0.99727815,1
0.9999999,1
1.0,1
1.0,1
1.0,1
0.99873143,1
1.0,1
1.0,1
1.0,1
1.0,1
0.99945194,1
1.0,1
0.9925222,1
0.9999745,1
0.99999857,1
0.9999993,1
0.9999875,1
1.0,1
0.99999654,1
1.0,1
0.9998332,1
0.99999964,1
1.0,1
0.9999976,1
1.0,1
0.99999917,1
0.99997365,1
0.9999994,1
0.99973804,1
0.99994385,1
0.99426574,1
0.9999999,1
1.0,1
0.99996245,1
0.9999471,1
0.9996512,1
1.0,1
1.0,1
0.99992275,1
1.0,1
1.0,1
0.9999995,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9852486,1
1.0,1
0.99983704,1
1.0,1
1.0,1
0.9999999,1
0.99996555,1
0.9999999,1
0.99997103,1
1.0,1
0.99995255,1
1.0,1
1.0,1
0.9997888,1
1.0,1
0.9999958,1
1.0,1
0.999949,1
1.0,1
1.0,1
0.99999976,1
0.99994814,1
0.99935955,1
0.99999976,1
0.9993931,1
1.0,1
1.0,1
0.99998236,1
0.9999988,1
1.0,1
0.9999999,1
0.9942668,1
0.9937842,1
1.0,1
0.9998739,1
1.0,1
0.99999964,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.99999976,1
0.99991477,1
0.9999999,1
0.99980336,1
1.0,1
0.9213935,1
0.9998473,1
0.9993875,1
0.99999964,1
1.0,1
0.99999404,1
1.0,1
0.9996817,1
1.0,1
0.99999976,1
1.0,1
1.0,1
0.9994246,1
1.0,1
1.0,1
0.999946,1
0.9999944,1
1.0,1
1.0,1
0.99997914,1
1.0,1
0.98459923,1
0.9999291,1
0.9999994,1
1.0,1
0.99999976,1
1.0,1
1.0,1
0.9999963,1
0.98189557,1
1.0,1
0.99999917,1
0.99371487,1
1.0,1
1.0,1
0.99995756,1
1.0,1
0.9999268,1
1.0,1
0.999998,1
1.0,1
0.9999913,1
0.9999993,1
0.9999999,1
0.9999975,1
0.99957377,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.99999225,1
0.9837535,1
1.0,1
1.0,1
1.0,1
0.99867934,1
0.99999917,1
0.9999981,1
0.99913967,1
0.9999541,1
0.9999995,1
0.9999732,1
0.9999105,1
