Classification_Value,Class
0.69213516,1
0.9344071,1
0.1715641,1
0.5032898,1
0.6458809,1
0.61015123,1
0.5169334,1
0.54268914,1
0.72642994,1
0.7460163,1
0.48793468,1
0.31000987,1
0.57731104,1
0.45116684,1
0.4396242,1
0.37457544,1
0.516886,1
0.5313772,1
0.25566602,1
0.48623282,1
0.552344,1
0.28402993,1
0.94286734,1
0.29835755,1
0.31402174,1
0.481511,1
0.5746746,1
0.42754346,1
0.4984792,1
0.9713003,1
0.59944326,1
0.6109132,1
0.6364771,1
0.4949085,1
0.60700387,1
0.52467245,1
0.375918,1
0.48921221,1
0.4875278,1
0.44434077,1
0.6050374,1
0.4596752,1
0.31901133,1
0.449427,1
0.3772693,1
0.6797997,1
0.3629493,1
0.6117185,1
0.9967706,1
0.44917533,1
0.42494693,1
0.5150278,1
0.4952776,1
0.60820466,1
0.71646893,1
0.98630655,1
0.58648753,1
0.5534384,1
0.96376437,1
0.2766593,1
0.43159238,1
0.49316382,1
0.5396463,1
0.39019635,1
0.5075159,1
0.4423692,1
0.71798164,1
0.48452252,1
0.52790755,1
0.5125225,1
0.5509118,1
0.539559,1
0.9998858,1
0.4015618,1
0.18503281,1
0.99880505,1
0.6082751,1
0.58102834,1
0.35476813,1
0.7103945,1
0.43753704,1
0.7750883,1
0.8607472,1
0.25206876,1
0.9778757,1
0.12688923,1
0.6151465,1
0.45449024,1
0.4254472,1
0.5053369,1
0.5108005,1
0.47461358,1
0.85430264,1
0.648956,1
0.55212295,1
0.30127472,1
0.99859315,1
0.1253092,1
0.80163205,1
0.5677442,1
0.46780968,1
0.3745839,1
0.54611564,1
0.7276333,1
0.49391833,1
0.3491246,1
0.8571322,1
0.58363897,1
0.5323227,1
0.6312898,1
0.66210073,1
0.6569711,1
0.35521886,1
0.6779367,1
0.491676,1
0.38696954,1
0.55391014,1
0.256602,1
0.4843079,1
0.6402539,1
0.46870902,1
0.41356987,1
0.7711386,1
0.38481104,1
0.47575837,1
0.6315103,1
0.6038246,1
0.5145477,1
0.53804624,1
0.5237873,1
0.74755394,1
0.43717533,1
0.5028781,1
0.4971417,1
0.28943482,1
0.50053465,1
0.6542158,1
0.5686902,1
0.9680245,1
0.3600895,1
0.6695773,1
0.4698738,1
0.74774545,1
0.5945845,1
0.66425973,1
0.55336136,1
0.42959306,1
0.5758887,1
0.3811158,1
0.5791945,1
0.4571347,1
0.47093898,1
0.6486941,1
0.6440738,1
0.46567148,1
0.5129547,1
0.6118413,1
0.10036795,1
0.47180787,1
0.6288824,1
0.19126038,1
0.44846117,1
0.44570205,1
0.9427896,1
0.21557917,1
0.9997689,1
0.43895766,1
0.47011015,1
0.84849644,1
0.58948,1
0.48105663,1
0.3875273,1
0.5615015,1
0.46870267,1
0.85714376,1
0.8828561,1
0.9787121,1
0.39284137,1
0.47932723,1
0.46944603,1
0.95531833,1
0.29477006,1
0.25153613,1
0.28628123,1
0.47348934,1
0.7404609,1
0.4895945,1
0.36877725,1
0.55080354,1
0.9961153,1
0.5153827,1
0.5052522,1
0.51377946,1
0.4877514,1
0.5029963,1
0.46148568,1
0.49016446,1
0.46983653,1
0.45410028,1
0.39647573,1
0.5130662,1
0.4583406,1
0.5762218,1
0.576914,1
0.42314392,1
0.3471672,1
0.32663402,1
0.6659092,1
0.49129474,1
0.63302463,1
0.27466193,1
0.46767563,1
0.5970597,1
0.8202876,1
0.67803764,1
0.33290327,1
0.5473365,1
0.5191745,1
0.34263417,1
0.31784487,1
0.5699502,1
0.46706164,1
0.62220454,1
0.59907395,1
0.9706673,1
0.5220076,1
0.5083956,1
0.96539694,1
0.17534432,1
0.5494068,1
0.680151,1
0.33788896,1
0.52786905,1
0.639205,1
0.39263818,1
0.2045187,1
0.21411146,1
0.5909806,1
0.48697722,1
0.55130756,1
0.42871562,1
0.99981743,1
0.5506042,1
0.9924615,1
0.516001,1
0.36672595,1
0.9988324,1
0.53012097,1
0.64521974,1
0.6382405,1
0.4532724,1
0.65523344,1
0.9342659,1
0.47881034,1
0.5161032,1
0.4365028,1
0.43965212,1
0.4981916,1
0.993751,1
0.5353444,1
0.7286181,1
0.32056046,1
0.273512,1
0.2708671,1
0.51097226,1
0.29845428,1
0.29566056,1
0.60412425,1
0.9999367,1
0.47123045,1
0.56914735,1
0.5473534,1
0.52120095,1
0.6611386,1
0.5867694,1
0.42715386,1
0.7484546,1
0.6081765,1
0.84135324,1
0.67196155,1
0.4786192,1
0.9978719,1
0.69925773,1
0.67488146,1
0.25554246,1
0.3044702,1
0.5346491,1
0.31171685,1
0.51416886,1
0.97141325,1
0.46658352,1
0.57204026,1
0.40725794,1
0.73129755,1
0.48433787,1
0.93176067,1
0.5638876,1
0.11133351,1
0.4558224,1
0.75562614,1
0.58347297,1
0.60477966,1
0.5190259,1
0.48264247,1
0.7205283,1
0.6698252,1
0.45358086,1
0.15479746,1
0.49019775,1
0.58097714,1
0.45339015,1
0.36800817,1
0.5061708,1
0.5258167,1
0.49590945,1
0.71811247,1
0.73300415,1
0.50472015,1
0.9900575,1
0.43709752,1
0.995145,1
0.5480644,1
0.67657685,1
0.5029836,1
0.67096347,1
0.6190172,1
0.997752,1
0.46328783,1
0.15326859,1
0.38536707,1
0.43855032,1
0.54515666,1
0.9154857,1
0.9898864,1
0.7245962,1
0.9884615,1
0.568467,1
0.5937884,1
0.52459335,1
0.54404587,1
0.59284204,1
0.31025308,1
0.81541634,1
0.5574894,1
0.6039441,1
0.51112896,1
0.3568854,1
0.42107174,1
0.16441669,1
0.46662495,1
0.5479239,1
0.2296389,1
0.5578905,1
0.33645365,1
0.4121096,1
0.9999999,1
0.4694331,1
0.64863825,1
0.54747534,1
0.77733576,1
0.53798294,1
0.6263636,1
0.6685332,1
0.3166837,1
0.48923805,1
0.6033992,1
0.41875386,1
0.99999666,1
0.52688634,1
0.57221156,1
0.33183554,1
0.23325315,1
0.445362,1
0.6284601,1
0.70258486,1
0.6077869,1
0.37949756,1
0.45223263,1
0.3649948,1
0.83654016,1
0.62830883,1
0.5208376,1
0.38495484,1
0.23108833,1
0.62528723,1
0.97549635,1
0.4814995,1
0.68535566,1
0.52279615,1
0.42766714,1
0.50981516,1
0.592644,1
0.64194673,1
0.58465874,1
0.5359456,1
0.61807674,1
0.61626744,1
0.5233782,1
0.47237483,1
0.48977107,1
0.8039188,1
0.63692284,1
0.6460986,1
0.4181274,1
0.56201255,1
0.459943,1
0.6138256,1
0.28517008,1
0.09891953,1
0.62756455,1
0.5390049,1
0.31237096,1
0.38871893,1
0.67907524,1
0.5026912,1
0.70348686,1
0.41828406,1
0.49691477,1
0.39095786,1
0.47283897,1
0.5587156,1
0.57962877,1
0.3258921,1
0.36972913,1
0.5140716,1
0.51761776,1
0.08939194,1
0.5576475,1
0.57708883,1
0.31959927,1
0.47238436,1
0.47552824,1
0.20376396,1
0.51283455,1
0.9997583,1
0.44580096,1
0.99977654,1
0.642351,1
0.80215317,1
0.6453382,1
0.6042034,1
0.3576619,1
0.5201106,1
0.55257183,1
0.99459654,1
0.44615602,1
0.2633615,1
0.47160682,1
0.446166,1
0.70841414,1
0.44828954,1
0.17302808,1
0.4495707,1
0.32471555,1
0.37273252,1
0.88326293,1
0.48716062,1
0.9997476,1
0.7035635,1
0.56617135,1
0.45193782,1
0.7576738,1
0.39272583,1
0.9986945,1
0.25244975,1
0.6336739,1
0.40411058,1
0.9963007,1
0.57118934,1
0.4712583,1
0.6475476,1
0.50437576,1
0.086095855,1
0.9592982,1
0.5406302,1
0.4603314,1
0.6575717,1
0.3720512,1
0.16360301,1
0.49357557,1
0.36102346,1
0.27729622,1
0.44514453,1
0.52809256,1
0.46779397,1
0.40017822,1
0.58350056,1
0.41647005,1
0.46892413,1
0.53555495,1
0.45920128,1
0.29705,1
0.9881838,1
0.6351113,1
0.59371513,1
0.2256645,1
0.40983108,1
0.45236844,1
0.986484,1
0.27861786,1
0.5438379,1
0.46650338,1
0.43062183,1
0.28220442,1
0.8126669,1
0.7438764,1
0.99985814,1
0.3440475,1
0.3268169,1
0.42463094,1
0.5421086,1
0.49213776,1
0.2788097,1
0.16256723,1
0.65465707,1
0.604862,1
0.64468545,1
0.62427336,1
0.3203191,1
0.504925,1
0.50992686,1
0.5107794,1
0.62117046,1
0.5642378,1
0.24264328,1
0.35799703,1
0.51126325,1
0.24230744,1
0.45567724,1
0.684912,1
0.5715196,1
0.3391242,1
0.40692455,1
0.31400314,1
0.46237332,1
0.99887997,1
0.31323263,1
0.43321148,1
0.7241676,1
0.24072662,1
0.4258716,1
0.4904965,1
0.5106712,1
0.9757169,1
0.6136452,1
0.5259676,1
0.31964308,1
0.52180207,1
0.69099915,1
0.9999887,1
0.7928665,1
0.45336583,1
0.6007791,1
0.43113148,1
0.8679094,1
0.6710184,1
0.56168586,1
0.14360055,1
0.56299376,1
0.68445647,1
0.6445201,1
0.39851785,1
0.48693538,1
0.5843968,1
0.5998366,1
0.58343256,1
0.5651418,1
