Classification_Value,Class
0.9999999,1
0.9997068,1
0.9982803,1
0.99946254,1
0.9995709,1
0.9999889,1
0.99980336,1
0.9999385,1
0.9999981,1
0.80453724,1
0.99996364,1
0.99540424,1
0.9997471,1
0.98940396,1
0.9997732,1
0.7090817,1
0.99896824,1
0.957315,1
0.99999964,1
0.9928865,1
0.99999297,1
0.9999906,1
0.99999607,1
0.70120686,1
0.9953246,1
0.99558073,1
0.99998415,1
0.996718,1
0.9999658,1
0.99999297,1
0.9999454,1
0.99895394,1
0.9999988,1
0.81153893,1
1.0,1
1.0,1
0.99996674,1
0.9709249,1
0.9999945,1
0.98593706,1
0.99996936,1
0.9999789,1
0.9999808,1
0.99998665,1
0.99596524,1
0.999946,1
0.9987783,1
0.9832954,1
0.97632015,1
0.96525675,1
0.7021021,1
0.99997556,1
0.9995981,1
0.9995695,1
0.99995756,1
0.9994684,1
0.999655,1
0.99995375,1
0.9999956,1
0.9999974,1
0.99917334,1
0.99768996,1
0.99999094,1
0.9999933,1
0.9999902,1
0.9967206,1
0.98878574,1
0.99765503,1
0.9673216,1
0.9999602,1
0.99800974,1
0.99973005,1
0.9999511,1
0.995917,1
0.9998367,1
0.9991679,1
0.99999964,1
0.9998429,1
0.9999814,1
0.9974311,1
0.9974872,1
0.9997334,1
0.9858994,1
0.893147,1
0.9999726,1
0.99994516,1
0.9999585,1
0.99699426,1
0.99841094,1
0.97645444,1
0.9922875,1
0.9995396,1
0.99943644,1
0.9943356,1
0.999297,1
0.30267528,1
0.9995079,1
0.9999567,1
0.99982977,1
0.99969935,1
0.9829565,1
0.7979432,1
0.9996251,1
0.9997297,1
0.99992895,1
0.9999629,1
0.9984415,1
0.9981675,1
0.99998343,1
0.99940395,1
0.99993575,1
0.9999863,1
0.99998343,1
0.9999912,1
0.962448,1
0.999356,1
0.6175602,1
1.0,1
0.89839625,1
0.9992267,1
0.99963915,1
0.9999999,1
0.99998426,1
0.97190857,1
0.9999914,1
0.86943763,1
0.9999993,1
0.946875,1
0.9999994,1
0.99999,1
0.96675485,1
0.99999654,1
0.9995746,1
0.9999634,1
0.8698492,1
0.9944782,1
0.992991,1
0.9999894,1
0.56545556,1
0.9997271,1
0.99999654,1
0.9482686,1
0.9999554,1
0.9999951,1
0.9383713,1
0.99999917,1
0.9999889,1
1.0,1
0.99895823,1
0.99535036,1
0.99674326,1
0.9998956,1
1.0,1
0.9999366,1
0.99947244,1
0.9999987,1
0.99934655,1
1.0,1
0.99763227,1
0.98698425,1
0.99999976,1
0.9986791,1
0.9996648,1
0.9996437,1
0.949368,1
0.99134517,1
0.99999964,1
0.99999976,1
0.99863786,1
0.9999962,1
0.99984777,1
1.0,1
0.9959657,1
0.99999225,1
0.9999975,1
0.96051544,1
0.9972184,1
0.9972339,1
0.9993326,1
0.99964726,1
0.99161315,1
0.9999907,1
0.99998116,1
0.99901426,1
0.99690044,1
1.0,1
0.9975684,1
0.99995375,1
0.89264756,1
0.9983821,1
0.9759881,1
0.9999895,1
0.99903584,1
0.98813605,1
0.93395895,1
0.9881982,1
0.71113575,1
0.991492,1
0.8417533,1
0.9994962,1
0.997682,1
0.9999653,1
0.9999584,1
0.9973399,1
0.9999974,1
0.9999263,1
0.999961,1
0.9987218,1
0.8571574,1
1.0,1
0.9999995,1
0.9997178,1
0.9999856,1
0.99831885,1
0.9999652,1
0.9999962,1
0.99999917,1
0.95537347,1
0.99960023,1
0.999828,1
0.9953289,1
0.91954195,1
0.8517704,1
0.9980034,1
0.9938905,1
0.98511744,1
0.9954568,1
0.99853015,1
0.9979431,1
0.9999784,1
0.9999082,1
0.99974173,1
0.9999765,1
0.981206,1
0.9999361,1
0.99992883,1
0.9931658,1
0.98807913,1
0.99791414,1
0.98218566,1
0.9999517,1
0.9954548,1
0.99995995,1
0.9999776,1
0.99999654,1
0.99974245,1
0.9992976,1
0.99557084,1
1.0,1
0.99994123,1
0.9998779,1
0.9999267,1
0.9999999,1
1.0,1
0.99998546,1
0.99997866,1
0.97247845,1
0.99879754,1
0.99097216,1
